Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
79,83.16,Andrey Abduvaliyev,UZB,30.06.66,1,Moskva,10.06.1990
80,83.15,Koji Murofushi,JPN,08.10.74,1,Yokohama,24.09.2004
81,83.14,Igor Astapkovich,BLR,04.01.63,1,Moskva,23.06.1992
81,83.14,Igor Astapkovich,BLR,04.01.63,1,Roma,08.06.1994
83,83.12,Yuriy Syedikh,RUS,11.06.55,1,Leningrad,12.06.1988
83,83.12,Pawel Fajdek,POL,04.06.89,1,Székesfehérvár,07.07.2015
85,83.10,Sergey Litvinov,RUS,23.01.58,1,Haniá,22.05.1983
85,83.10,Andrey Abduvaliyev,UZB,30.06.66,1,Tashkent,07.09.1995
87,83.06,Sergey Litvinov,RUS,23.01.58,1,Roma,01.09.1987
88,83.05,Ivan Tikhon,BLR,24.07.76,1,Saint-Denis,25.08.2003
89,83.04,Heinz Weis,GER,14.07.63,1,Frankfurt,29.06.1997
90,83.02,Yuriy Syedikh,RUS,11.06.55,1,Adler,24.05.1986
91,83.00,Igor Astapkovich,BLR,04.01.63,1,Sevilla,05.06.1994
91,83.00,Balázs Kiss,HUN,21.03.72,1,Saint-Denis,04.06.1998
93,82.98,Pawel Fajdek,POL,04.06.89,1,Chorzów,30.05.2021
94,82.97,Adrián Annus,HUN,28.06.73,1,Szombathely,14.07.2002
95,82.96,Igor Astapkovich,BLR,04.01.63,1,Novopolotsk,26.09.1987
96,82.95,Koji Murofushi,JPN,08.10.74,1,Osaka,10.05.2003
96,82.95,Vadim Devyatovskiy,BLR,20.03.77,1,Stayki,22.07.2006
98,82.94,Koji Murofushi,JPN,08.10.74,1,Brisbane,07.09.2001
98,82.94,Vadim Devyatovskiy,BLR,20.03.77,1,Stayki,28.07.2007
100,82.92,Igor Nikulin,RUS,14.08.60,1,Leningrad,03.06.1983
100,82.92,Koji Murofushi,JPN,08.10.74,2,Edmonton,05.08.2001
102,82.91,Vadim Devyatovskiy,BLR,20.03.77,2,Minsk,10.07.2004
102,82.91,Koji Murofushi,JPN,08.10.74,1,Athínai,22.08.2004
104,82.90,Jüri Tamm,EST,05.02.57,1,Moskva,18.08.1985
104,82.90,Yuriy Syedikh,RUS,11.06.55,q,Stuttgart,29.08.1986
104,82.90,Balázs Kiss,HUN,21.03.72,1,Veszprém,10.07.1997
107,82.88,Koji Murofushi,JPN,08.10.74,1,Fujiyoshida,01.08.2004
108,82.87,Tibor Gécsek,HUN,22.09.64,1,Budapest,19.08.1998
108,82.87,Ivan Tikhon,BLR,24.07.76,1,Stayki,31.07.2004
110,82.84,Heinz Weis,GER,14.07.63,1,Berlin,18.08.1989
111,82.82,Pawel Fajdek,POL,04.06.89,1,Poznan,25.06.2021
112,82.81,Adrián Annus,HUN,28.06.73,1,Tatabánya,26.05.2001
113,82.80,Yuriy Syedikh,RUS,11.06.55,1,Pieksämäki,12.08.1990
113,82.80,Andrey Abduvaliyev,UZB,30.06.66,1,Kyiv,11.07.1991
115,82.78,Igor Astapkovich,BLR,04.01.63,1,Kyiv,06.07.1990
115,82.78,Andrey Abduvaliyev,UZB,30.06.66,1,Nitra,28.08.1993
115,82.78,Karsten Kobs,GER,16.09.71,1,Dortmund,26.06.1999
118,82.77,Ivan Tikhon,BLR,24.07.76,1,Daegu,30.08.2003
118,82.77,Pawel Fajdek,POL,04.06.89,1,Bydgoszcz,30.06.2021
120,82.76,Igor Astapkovich,BLR,04.01.63,1,Stayki,13.07.2001
120,82.76,Pawel Fajdek,POL,04.06.89,1,Halle,16.05.2015
122,82.73,Adrián Annus,HUN,28.06.73,2,Praha,29.06.2003
123,82.71,Rudy Winkler,USA,06.12.94,1,Eugene,20.06.2021
124,82.70,Yuriy Syedikh,RUS,11.06.55,1,London,19.07.1985
125,82.69,Krisztián Pars,HUN,18.02.82,1,Zürich,16.08.2014
126,82.68,Sergey Litvinov,RUS,23.01.58,1,Helsinki,09.08.1983
126,82.68,Tibor Gécsek,HUN,22.09.64,1,Johannesburg,12.09.1998
126,82.68,Adrián Annus,HUN,28.06.73,1,Nikíti,17.07.2002
129,82.67,Koji Murofushi,JPN,08.10.74,1,Toyota,24.05.2003
130,82.66,Yuriy Syedikh,RUS,11.06.55,1,Lausanne,24.06.1988
130,82.66,Jüri Tamm,EST,05.02.57,1,Odessa,21.08.1988
130,82.66,Andrey Abduvaliyev,UZB,30.06.66,1,Tula,09.07.1997
133,82.65,Koji Murofushi,JPN,08.10.74,1,Eugene,19.06.2004
134,82.64,Günther Rodehau,GDR,06.07.59,1,Dresden,03.08.1985
134,82.64,Pawel Fajdek,POL,04.06.89,1,Székesfehérvár,04.07.2017
136,82.62,Yuriy Syedikh,RUS,11.06.55,1,Pieksämäki,03.07.1991
136,82.62,Sergey Kirmasov,RUS,25.03.70,1,Bryansk,30.05.1998
136,82.62,Andrey Skvaruk,UKR,09.03.67,1,Koncha-Zaspa,27.04.2002
136,82.62,Koji Murofushi,JPN,08.10.74,1,Rieti,09.09.2007
140,82.61,Ivan Tikhon,BLR,24.07.76,2,Rieti,09.09.2007
141,82.60,Yuriy Syedikh,RUS,11.06.55,1,Kyiv,21.06.1984
141,82.60,Sergey Litvinov,RUS,23.01.58,2,Kyiv,21.06.1984
141,82.60,Igor Astapkovich,BLR,04.01.63,1,Szombathely,29.05.1995
141,82.60,Koji Murofushi,JPN,08.10.74,1,Toyota,07.04.2001
141,82.60,Vadim Devyatovskiy,BLR,20.03.77,1,Helsinki,08.08.2005
146,82.59,Koji Murofushi,JPN,08.10.74,1,Osaka,12.05.2001
146,82.59,Adrián Annus,HUN,28.06.73,1,Magglingen,29.05.2004
148,82.58,Igor Astapkovich,BLR,04.01.63,1,Stayki,18.08.2000
148,82.58,Ivan Tikhon,BLR,24.07.76,1,Warszawa,17.06.2007
148,82.58,Primoz Kozmus,SLO,30.09.79,1,Celje,02.09.2009
151,82.57,Tibor Gécsek,HUN,22.09.64,1,Clermont-Ferrand 13.05.1999
151,82.57,Koji Murofushi,JPN,08.10.74,1,Réthymno,06.07.2003
153,82.56,Igor Nikulin,RUS,14.08.60,2,Moskva,17.08.1984
153,82.56,Heinz Weis,GER,14.07.63,1,Neulussheim,23.09.1989
153,82.56,Balázs Kiss,HUN,21.03.72,1,Veszprém,23.08.1995
156,82.55,Tibor Gécsek,HUN,22.09.64,1,Bogen,26.09.1998
157,82.54,Jüri Tamm,EST,05.02.57,2,Adler,01.06.1988
157,82.54,Ralf Haber,GER,18.08.62,1,Potsdam,09.09.1988
157,82.54,Vasiliy Sidorenko,RUS,01.05.61,1,Krasnodar,13.05.1992
157,82.54,Andrey Abduvaliyev,UZB,30.06.66,1,Barcelona,02.08.1992
157,82.54,Sergey Kirmasov,RUS,25.03.70,1,Sochi,22.05.1993
162,82.52,Yuriy Syedikh,RUS,11.06.55,1,Erfurt,23.06.1985
162,82.52,Heinz Weis,GER,14.07.63,1,Leverkusen,28.06.1988
162,82.52,Igor Astapkovich,BLR,04.01.63,1,Bryansk,15.07.1989
162,82.52,Lance Deal,USA,21.08.61,1,Milano,07.09.1996
162,82.52,Wojciech Nowicki,POL,22.02.89,1,Tokyo,04.08.2021
167,82.50,Igor Nikulin,RUS,14.08.60,1,Rehlingen,08.06.1992
167,82.50,Lance Deal,USA,21.08.61,1,Knoxville,17.06.1994
167,82.50,Lance Deal,USA,21.08.61,1,Königs Wusterhausen,27.08.1996
170,82.49,Krisztián Pars,HUN,18.02.82,1,Székesfehérvár,08.07.2014
171,82.48,Igor Astapkovich,BLR,04.01.63,1,Volgograd,10.06.1989
172,82.47,Szymon Ziólkowski,POL,01.07.76,1cA,Clermont-Ferrand 15.06.2001
173,82.45,Tibor Gécsek,HUN,22.09.64,2,Szombathely,14.07.2002
173,82.45,Krisztián Pars,HUN,18.02.82,1,Celje,13.09.2006
175,82.44,Igor Astapkovich,BLR,04.01.63,1,Gomel,02.07.1997
175,82.44,Szymon Ziólkowski,POL,01.07.76,1,Rüdlingen,19.08.2001
177,82.42,Sergey Litvinov,RUS,23.01.58,2,Leningrad,12.06.1988
177,82.42,Andrey Abduvaliyev,UZB,30.06.66,1,Tallinn,02.08.1994
179,82.40,Igor Astapkovich,BLR,04.01.63,1,Grodno,06.08.1988
179,82.40,Plamen Minev,BUL,28.04.65,1,Plovdiv,01.06.1991
179,82.40,Igor Astapkovich,BLR,04.01.63,1,Moskva,11.06.1991
179,82.40,Krisztián Pars,HUN,18.02.82,1,Dubnica nad Váhom21.08.2013
179,82.40,Pawel Fajdek,POL,04.06.89,1,Turku,13.06.2017
184,82.38,Sergey Litvinov,RUS,23.01.58,1,Adler,23.05.1987
184,82.38,Gilles Dupray,FRA,02.01.70,1,Chelles,21.06.2000
186,82.37,Adrián Annus,HUN,28.06.73,1,Szombathely,05.05.2001
186,82.37,Pawel Fajdek,POL,04.06.89,1,Velenje,01.07.2014
188,82.36,Igor Astapkovich,BLR,04.01.63,q,Zhitomir,09.09.1987
188,82.36,Igor Astapkovich,BLR,04.01.63,1,Stayki,13.09.1987
188,82.36,Ralf Haber,GER,18.08.62,1,Dresden,11.06.1988
188,82.36,Szymon Ziólkowski,POL,01.07.76,1,Rehlingen,04.06.2001
188,82.36,Koji Murofushi,JPN,08.10.74,1,Toyota,26.04.2003
193,82.34,Igor Nikulin,RUS,14.08.60,3,Dresden,03.07.1986
193,82.34,Jüri Tamm,EST,05.02.57,1,Tallinn,06.07.1988
193,82.34,Igor Nikulin,RUS,14.08.60,2,Tallinn,06.07.1988
193,82.34,Igor Astapkovich,BLR,04.01.63,1,Lausanne,08.07.1992
193,82.34,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,02.07.2001
198,82.32,Igor Nikulin,RUS,14.08.60,1,Nice,10.07.1988
198,82.32,Karsten Kobs,GER,16.09.71,1,Bad Köstritz,18.09.1999
200,82.31,Szymon Ziólkowski,POL,01.07.76,1,Nikíti,15.07.2006
200,82.31,Pawel Fajdek,POL,04.06.89,1,Halle,20.05.2017
202,82.30,Vasiliy Sidorenko,RUS,01.05.61,2,Bryansk,15.07.1989
202,82.30,Tibor Gécsek,HUN,22.09.64,1,Sevilla,28.05.1999
202,82.30,Primoz Kozmus,SLO,30.09.79,1,Bydgoszcz,10.06.2007
205,82.29,Primoz Kozmus,SLO,30.09.79,2,Osaka,27.08.2007
206,82.28,Sergey Litvinov,RUS,23.01.58,1,Praha,28.06.1987
206,82.28,Jüri Tamm,EST,05.02.57,2,Moskva,04.09.1988
206,82.28,Igor Astapkovich,BLR,04.01.63,1,Sevilla,05.06.1993
206,82.28,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,25.05.2002
206,82.28,Ilya Konovalov,RUS,04.03.71,1,Tula,10.07.2003
206,82.28,Krisztián Pars,HUN,18.02.82,1,Ostrava,24.05.2012
212,82.27,Aleksey Zagornyi,RUS,31.05.78,1,Pula,09.03.2002
212,82.27,Pawel Fajdek,POL,04.06.89,2,Dubnica nad Váhom21.08.2013
214,82.26,Lance Deal,USA,21.08.61,1,Bruxelles,22.08.1996
215,82.25,Tibor Gécsek,HUN,22.09.64,2,Dortmund,26.06.1999
216,82.24,Benjaminas Viluckis,LTU,20.03.61,1,Klaipeda,24.08.1986
216,82.24,Vyacheslav Korovin,RUS,08.09.62,1,Chelyabinsk,20.06.1987
218,82.23,Koji Murofushi,JPN,08.10.74,1,Toyota,01.04.2001
