Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
338,81.70,Olli-Pekka Karjalainen FIN,07.03.80,1,Lahti,16.06.2002
338,81.70,Vadim Devyatovskiy,BLR,20.03.77,1,Stayki,19.07.2008
345,81.69,Adrián Annus,HUN,28.06.73,1,Szombathely,27.04.2002
346,81.68,Tibor Gécsek,HUN,22.09.64,1,Szombathely,13.09.1988
346,81.68,Tibor Gécsek,HUN,22.09.64,1,Nyíregyháza,25.07.2001
346,81.68,Krisztián Pars,HUN,18.02.82,1,Debrecen,19.07.2008
349,81.67,Balázs Kiss,HUN,21.03.72,1,Sevilla,30.05.1998
350,81.66,Sergey Litvinov,RUS,23.01.58,1,Sochi,24.05.1980
350,81.66,Yuriy Syedikh,RUS,11.06.55,1,Athínai,10.09.1982
350,81.66,Tibor Gécsek,HUN,22.09.64,1,Nitra,25.08.1998
350,81.66,Aleksandr Krikun,UKR,01.03.68,1,Kyiv,29.05.2004
354,81.64,Jüri Tamm,EST,05.02.57,1,Leselidze,18.05.1985
354,81.64,Jüri Tamm,EST,05.02.57,1,Tallinn,28.06.1985
354,81.64,Yuriy Syedikh,RUS,11.06.55,1,Edinburgh,23.07.1985
354,81.64,Igor Astapkovich,BLR,04.01.63,1,Edinburgh,07.07.1989
354,81.64,Sergey Litvinov,RUS,23.01.58,1,Moskva,03.06.1990
354,81.64,Igor Astapkovich,BLR,04.01.63,1,Schwechat,05.09.1990
354,81.64,Andrey Abduvaliyev,UZB,30.06.66,1,Stuttgart,15.08.1993
354,81.64,Enrico Sgrulletti,ITA,24.04.65,1,Roma,09.03.1997
354,81.64,Pawel Fajdek,POL,04.06.89,1,Cheboksary,20.06.2015
363,81.62,Igor Astapkovich,BLR,04.01.63,1,Sevilla,03.06.1995
363,81.62,Balázs Kiss,HUN,21.03.72,1,Torino,24.06.1997
363,81.62,Pawel Fajdek,POL,04.06.89,1,Andújar,22.05.2021
366,81.61,Ilya Konovalov,RUS,04.03.71,1,Moskva,26.07.2003
366,81.61,Vadim Devyatovskiy,BLR,20.03.77,2,Beijing,17.08.2008
368,81.60,Igor Astapkovich,BLR,04.01.63,1,Frankfurt,30.06.1991
368,81.60,Libor Charfreitag,SVK,11.09.77,3,Osaka,27.08.2007
370,81.59,Aleksandr Krikun,UKR,01.03.68,3,Szombathely,14.07.2002
370,81.59,Pawel Fajdek,POL,04.06.89,1,Cetniewo,12.07.2016
372,81.58,Benjaminas Viluckis,LTU,20.03.61,1,Krasnodar,21.06.1986
372,81.58,Günther Rodehau,GDR,06.07.59,2,Potsdam,21.08.1987
372,81.58,Yuriy Syedikh,RUS,11.06.55,1,Dreux,31.05.1991
372,81.58,Igor Astapkovich,BLR,04.01.63,1,Roma,09.06.1992
372,81.58,Yuriy Syedikh,RUS,11.06.55,1,Gueugnon,13.06.1992
372,81.58,Adrián Annus,HUN,28.06.73,1,Debrecen,25.07.2002
372,81.58,Eivind Henriksen,NOR,14.09.90,2,Tokyo,04.08.2021
372,81.58,Wojciech Nowicki,POL,22.02.89,1,Chorzów,05.06.2022
380,81.57,Vasiliy Sidorenko,RUS,01.05.61,1c1,Rüdlingen,13.08.2000
380,81.57,Vadim Devyatovskiy,BLR,20.03.77,4,Osaka,27.08.2007
380,81.57,Krisztián Pars,HUN,18.02.82,1,Ostrava,16.06.2014
383,81.56,Jüri Tamm,EST,05.02.57,2,Moskva,08.07.1984
383,81.56,Christoph Sahner,GER,23.09.63,1,Rehlingen,27.05.1985
383,81.56,Heinz Weis,GER,14.07.63,1,Kamp-Lintfort,19.08.1989
383,81.56,Andrey Abduvaliyev,UZB,30.06.66,1,Göteborg,06.08.1995
383,81.56,Sergey Gavrilov,RUS,22.05.70,1,Rostov-na-Donu,16.06.1996
383,81.56,Zsolt Németh,HUN,09.11.71,1,Veszprém,14.08.1999
383,81.56,Vladislav Piskunov,UKR,07.06.78,1,Yalta,25.03.2000
383,81.56,Szymon Ziólkowski,POL,01.07.76,1,Kassel,13.06.2001
391,81.55,Tibor Gécsek,HUN,22.09.64,1,Chemnitz,02.06.1999
392,81.54,Aleksey Zagornyi,RUS,31.05.78,1,Adler,22.04.2011
393,81.53,Pawel Fajdek,POL,04.06.89,3,Tokyo,04.08.2021
394,81.52,Sergey Litvinov,RUS,23.01.58,1,Leselidze,22.05.1982
394,81.52,Sergey Litvinov,RUS,23.01.58,1,London,21.08.1983
394,81.52,Yuriy Syedikh,RUS,11.06.55,1,Torino,02.06.1984
394,81.52,Juha Tiainen,FIN,05.12.55,1,Tampere,11.06.1984
394,81.52,Ralf Haber,GER,18.08.62,1,Potsdam,06.06.1987
394,81.52,Jüri Tamm,EST,05.02.57,1,Leselidze,15.05.1988
394,81.52,Sergey Alay,BLR,11.06.65,1,Siauliai,22.05.1988
394,81.52,Igor Astapkovich,BLR,04.01.63,1,Padova,30.08.1992
394,81.52,Andrey Abduvaliyev,UZB,30.06.66,1,Szombathely,27.05.1994
394,81.52,Szymon Ziólkowski,POL,01.07.76,1,Warszawa,18.06.2006
404,81.51,Ivan Tikhon,BLR,24.07.76,1,Minsk,07.07.2004
404,81.51,Ivan Tikhon,BLR,24.07.76,q,Minsk,08.07.2004
404,81.51,Ivan Tikhon,BLR,24.07.76,3,Beijing,17.08.2008
404,81.51,Pawel Fajdek,POL,04.06.89,1,Kielce,13.05.2017
408,81.50,Yuriy Syedikh,RUS,11.06.55,1,Berlin,17.08.1990
408,81.50,Pawel Fajdek,POL,04.06.89,1,Warszawa,15.08.2017
410,81.49,Karsten Kobs,GER,16.09.71,1,Dortmund,08.06.2002
410,81.49,Valeriy Sviatokha,BLR,20.07.81,1,Brest,27.05.2006
410,81.49,Aleksey Zagornyi,RUS,31.05.78,1,Torino,10.06.2011
413,81.48,Igor Astapkovich,BLR,04.01.63,1,Banská Bystrica,28.08.1987
413,81.48,Krisztián Pars,HUN,18.02.82,1,Velenje,14.06.2012
415,81.46,Andrey Abduvaliyev,UZB,30.06.66,1,Paris,03.09.1994
415,81.46,Vasiliy Sidorenko,RUS,01.05.61,1,Volgograd,27.05.1995
415,81.46,Heinz Weis,GER,14.07.63,1,Cottbus,11.06.1997
415,81.46,Andrey Skvaruk,UKR,09.03.67,2,Athínai,03.08.1997
415,81.46,Primoz Kozmus,SLO,30.09.79,1,Celje,18.06.2008
420,81.45,Christophe Épalle,FRA,23.01.69,1,Reims,30.08.2000
420,81.45,Esref Apak,TUR,03.01.82,1,Istanbul,04.06.2005
420,81.45,Wojciech Nowicki,POL,22.02.89,1,Gliwice,10.06.2018
423,81.44,Yuriy Tarasyuk,BLR,11.04.57,1,Minsk,10.08.1984
423,81.44,Igor Astapkovich,BLR,04.01.63,1,Minsk,28.05.1988
423,81.44,Sergey Alay,BLR,11.06.65,1,Gomel,15.05.1993
423,81.44,Tibor Gécsek,HUN,22.09.64,2,Nice,16.07.1998
423,81.44,Olli-Pekka Karjalainen FIN,07.03.80,4,Szombathely,14.07.2002
423,81.44,Rudy Winkler,USA,06.12.94,1,Tucson,22.05.2021
429,81.43,Andrey Skvaruk,UKR,09.03.67,1,Ad-Dawhah,05.10.2000
429,81.43,Olli-Pekka Karjalainen FIN,07.03.80,1,Szombathely,05.09.2004
429,81.43,Krisztián Pars,HUN,18.02.82,1,Veszprém,25.04.2009
429,81.43,Wojciech Nowicki,POL,22.02.89,1,Nairobi,07.05.2022
433,81.42,Yuriy Syedikh,RUS,11.06.55,1,Padova,15.09.1991
433,81.42,Heinz Weis,GER,14.07.63,1,München,21.06.1997
433,81.42,Szymon Ziólkowski,POL,01.07.76,1,Warszawa,20.08.2000
433,81.42,Szymon Ziólkowski,POL,01.07.76,2,Helsinki,26.07.2006
433,81.42,Koji Murofushi,JPN,08.10.74,1,Stuttgart,10.09.2006
438,81.40,Igor Astapkovich,BLR,04.01.63,4,Adler,01.06.1988
438,81.40,Yuriy Syedikh,RUS,11.06.55,1,Saint-Denis,19.07.1991
438,81.40,Igor Astapkovich,BLR,04.01.63,1,Stayki,28.04.1994
438,81.40,Balázs Kiss,HUN,21.03.72,1,Budapest,09.07.1995
438,81.40,Krisztián Pars,HUN,18.02.82,2,Bydgoszcz,10.06.2007
443,81.39,Aleksey Zagornyi,RUS,31.05.78,1,Zhukovskiy,15.06.2008
443,81.39,Pawel Fajdek,POL,04.06.89,1,Montreuil,05.06.2012
443,81.39,Pawel Fajdek,POL,04.06.89,1,Coral Gables,07.04.2017
446,81.38,Igor Nikulin,RUS,14.08.60,3,Barcelona,02.08.1992
446,81.38,Krisztián Pars,HUN,18.02.82,1,Székesfehérvár,02.08.2014
448,81.37,Valeriy Sviatokha,BLR,20.07.81,1,Stayki,27.07.2008
449,81.36,Juha Tiainen,FIN,05.12.55,1,Joutseno,26.05.1984
449,81.36,Heinz Weis,GER,14.07.63,1,Wiesloch,16.06.1990
449,81.36,Igor Nikulin,RUS,14.08.60,3,Moskva,23.06.1992
449,81.36,Vadim Devyatovskiy,BLR,20.03.77,1,Brest,01.08.2000
449,81.36,Balázs Kiss,HUN,21.03.72,1,Cottbus,18.07.2001
449,81.36,Szymon Ziólkowski,POL,01.07.76,1,Rehlingen,05.06.2006
449,81.36,Krisztián Pars,HUN,18.02.82,1,Réthymno,18.07.2007
449,81.36,Krisztián Pars,HUN,18.02.82,1,Réthymno,14.07.2008
449,81.36,Wojciech Nowicki,POL,22.02.89,1,Cetniewo,11.07.2021
458,81.35,Koji Murofushi,JPN,08.10.74,1,Hiroshima,29.04.2001
458,81.35,Igor Astapkovich,BLR,04.01.63,2,Minsk,11.07.2003
458,81.35,Wojciech Kondratowicz,POL,18.04.80,1,Bydgoszcz,13.07.2003
458,81.35,Krisztián Pars,HUN,18.02.82,1,Szombathely,02.07.2006
462,81.34,Yuriy Syedikh,RUS,11.06.55,1,Sochi,10.06.1984
462,81.34,Jüri Tamm,EST,05.02.57,1,Chelyabinsk,02.08.1987
462,81.34,Igor Nikulin,RUS,14.08.60,1,Volgograd,15.09.1990
462,81.34,Yuriy Syedikh,RUS,11.06.55,1,Pieksämäki,28.06.1992
462,81.34,Szymon Ziólkowski,POL,01.07.76,1,Bydgoszcz,01.07.2001
462,81.34,Igor Astapkovich,BLR,04.01.63,2,Athínai,10.06.2002
468,81.33,Miloslav Konopka,SVK,23.01.79,1,Banská Bystrica,29.05.2004
469,81.32,Klaus Ploghaus,FRG,31.01.56,1e2,Paderborn,24.05.1986
469,81.32,Igor Astapkovich,BLR,04.01.63,1,Köln,16.08.1992
469,81.32,Vitaliy Alisevich,BLR,15.06.67,1,Novopolotsk,06.08.1993
472,81.31,Vadim Devyatovskiy,BLR,20.03.77,q,Brest,03.07.2005
472,81.31,Andrei Varantsou,BLR,24.07.75,1,Stayki,29.06.2008
472,81.31,Krisztián Pars,HUN,18.02.82,1,Veszprém,08.06.2014
475,81.30,Sergey Litvinov,RUS,23.01.58,3,Moskva,17.08.1984
475,81.30,Igor Nikulin,RUS,14.08.60,2,Adler,24.05.1986
475,81.30,Yuriy Syedikh,RUS,11.06.55,1,Dublin,12.07.1988
478,81.29,Ivan Tikhon,BLR,24.07.76,1,Dubnica nad Váhom16.09.2007
478,81.29,Krisztián Pars,HUN,18.02.82,1,Veszprém,26.04.2008
480,81.28,Sergey Litvinov,RUS,23.01.58,1,Adler,27.02.1983
480,81.28,Vladimir Maska,CZE,06.02.73,1,Pacov,25.09.1999
480,81.28,Krisztián Pars,HUN,18.02.82,1,Tapolca,25.08.2012
483,81.27,Heinz Weis,GER,14.07.63,1,Bad Köstritz,19.09.1998
483,81.27,Szymon Ziólkowski,POL,01.07.76,1,Poznan,08.06.2001
483,81.27,Esref Apak,TUR,03.01.82,1,Ankara,03.08.2004
483,81.27,Mostafa Hicham Al-GamalEGY,01.10.88,1,Al Qâhirah,21.03.2014
483,81.27,Pawel Fajdek,POL,04.06.89,1,Chorzów,06.08.2022
488,81.26,Igor Nikulin,RUS,14.08.60,1,Kyiv,27.07.1986
488,81.26,Heinz Weis,GER,14.07.63,1,Strasbourg,26.06.1988
488,81.26,Igor Astapkovich,BLR,04.01.63,1,Berlin,26.08.1988
488,81.26,Balázs Kiss,HUN,21.03.72,2,Budapest,19.08.1998
488,81.26,Vadim Khersontsev,RUS,08.07.74,1,Bryansk,03.07.2001
488,81.26,Andrey Skvaruk,UKR,09.03.67,1,Praha,17.06.2002
494,81.25,Igor Astapkovich,BLR,04.01.63,1,Stayki,27.06.2000
494,81.25,Wojciech Nowicki,POL,22.02.89,1,Paris,18.06.2022
494,81.25,Ethan Katzberg,CAN,05.04.02,1,Budapest,20.08.2023
497,81.24,Sergey Litvinov,RUS,23.01.58,q,Seoul,25.09.1988
497,81.24,Balázs Kiss,HUN,21.03.72,1,Atlanta,28.07.1996
497,81.24,Koji Murofushi,JPN,08.10.74,1,Poznan,18.08.2002
497,81.24,Koji Murofushi,JPN,08.10.74,1,Daegu,29.08.2011
501,81.23,Koji Murofushi,JPN,08.10.74,1c2,Szombathely,16.07.2002
501,81.23,Olli-Pekka Karjalainen FIN,07.03.80,1,Lappeenranta,25.07.2004
503,81.22,Andrey Abduvaliyev,UZB,30.06.66,2,Roma,09.06.1992
503,81.22,Adrián Annus,HUN,28.06.73,1,Szombathely,25.04.1998
503,81.22,Balázs Kiss,HUN,21.03.72,1,Barcelona,25.07.1998
503,81.22,Libor Charfreitag,SVK,11.09.77,2,Szombathely,07.09.2003
507,81.21,Karsten Kobs,GER,16.09.71,1,Dortmund,25.07.1998
507,81.21,Tibor Gécsek,HUN,22.09.64,1,Moskva,05.09.1998
507,81.21,Tibor Gécsek,HUN,22.09.64,2cA,Clermont-Ferrand 15.06.2001
507,81.21,Primoz Kozmus,SLO,30.09.79,1,Zagreb,03.08.2003
511,81.20,Igor Nikulin,RUS,14.08.60,3,Budapest,20.08.1984
511,81.20,Igor Grigorash,RUS,18.08.59,1,Kyiv,23.08.1984
511,81.20,Andrey Abduvaliyev,UZB,30.06.66,1,Rehlingen,31.05.1993
511,81.20,Andrey Abduvaliyev,UZB,30.06.66,1,Moskva,05.06.1994
511,81.20,Heinz Weis,GER,14.07.63,1,Dortmund,24.09.1994
511,81.20,Igor Astapkovich,BLR,04.01.63,1,Stayki,19.05.1995
511,81.20,Vadim Devyatovskiy,BLR,20.03.77,q,Helsinki,06.08.2005
518,81.18,Yuriy Tarasyuk,BLR,11.04.57,1,Minsk,02.05.1983
518,81.18,Jüri Tamm,EST,05.02.57,1,Tallinn,28.06.1987
518,81.18,Albert Sinka,HUN,22.11.62,1,Székesfehérvár,07.08.1988
518,81.18,Andrey Abduvaliyev,UZB,30.06.66,1,Rehlingen,23.05.1994
518,81.18,Balázs Kiss,HUN,21.03.72,1,Budapest,10.07.1998
518,81.18,Ivan Tikhon,BLR,24.07.76,1,Brest,27.04.2007
518,81.18,Krisztián Pars,HUN,18.02.82,2,Daegu,29.08.2011
518,81.18,Ethan Katzberg,CAN,05.04.02,q,Budapest,19.08.2023
526,81.17,Adrián Annus,HUN,28.06.73,1,München,07.08.2002
527,81.16,Igor Nikulin,RUS,14.08.60,2,Moskva,21.06.1983
527,81.16,Igor Nikulin,RUS,14.08.60,1,Leningrad,08.05.1984
527,81.16,Igor Astapkovich,BLR,04.01.63,3,Tallinn,06.07.1988
527,81.16,Jüri Tamm,EST,05.02.57,3,Seoul,26.09.1988
527,81.16,Igor Astapkovich,BLR,04.01.63,1,Riga,04.06.1989
527,81.16,Yuriy Syedikh,RUS,11.06.55,1,Lahti,09.08.1990
527,81.16,Sergey Alay,BLR,11.06.65,1,Stayki,05.05.1991
527,81.16,Krisztián Pars,HUN,18.02.82,1,Veszprém,28.04.2012
535,81.14,Yuriy Tarasyuk,BLR,11.04.57,1,Klaipeda,27.05.1984
535,81.14,Jüri Tamm,EST,05.02.57,1,Oslo,16.07.1985
535,81.14,Yuriy Syedikh,RUS,11.06.55,2,Berlin,18.08.1989
535,81.14,Sergey Kirmasov,RUS,25.03.70,1,Samara,01.06.1991
535,81.14,Sergey Litvinov,RUS,23.01.58,1,Reims,30.06.1993
535,81.14,Lance Deal,USA,21.08.61,1,El Paso,16.04.1994
535,81.14,Lance Deal,USA,21.08.61,2,London,10.09.1994
535,81.14,Tibor Gécsek,HUN,22.09.64,2,Saint-Denis,04.06.1998
535,81.14,Koji Murofushi,JPN,08.10.74,1,Paris,14.09.2002
535,81.14,Pawel Fajdek,POL,04.06.89,2,Székesfehérvár,02.07.2018
545,81.12,Juha Tiainen,FIN,05.12.55,1,Lappeenranta,28.06.1984
545,81.12,Igor Nikulin,RUS,14.08.60,2,Karl-Marx-Stadt,21.06.1987
545,81.12,Lance Deal,USA,21.08.61,2,Atlanta,28.07.1996
545,81.12,Ivan Tikhon,BLR,24.07.76,2,Stuttgart,10.09.2006
545,81.12,Krisztián Pars,HUN,18.02.82,q,Rieti,09.09.2011
545,81.12,Pawel Fajdek,POL,04.06.89,1,Turku,29.06.2016
545,81.12,Valeriy Pronkin,RUS,15.06.94,1,Sochi,13.02.2022
552,81.11,Heinz Weis,GER,14.07.63,1,Cottbus,27.05.1998
552,81.11,Pawel Fajdek,POL,04.06.89,1,Rieti,06.09.2014
552,81.11,Pawel Fajdek,POL,04.06.89,1,Székesfehérvár,18.07.2016
555,81.10,Sergey Ivanov,RUS,03.01.62,1,Chelyabinsk,27.06.1987
555,81.10,Günther Rodehau,GDR,06.07.59,2,Jena,03.06.1988
555,81.10,Andrey Abduvaliyev,UZB,30.06.66,2,Padova,30.08.1992
555,81.10,Vasiliy Sidorenko,RUS,01.05.61,1,Helsinki,11.08.1994
555,81.10,Igor Astapkovich,BLR,04.01.63,2,Göteborg,06.08.1995
555,81.10,Markus Esser,GER,03.02.80,1,Leverkusen,28.07.2006
561,81.09,Adrián Annus,HUN,28.06.73,1,Veszprém,07.07.2001
561,81.09,Igor Astapkovich,BLR,04.01.63,1,Torino,07.06.2002
561,81.09,Adrián Annus,HUN,28.06.73,1,Sevilla,08.06.2002
561,81.09,Krisztián Pars,HUN,18.02.82,1,Kaustinen,28.06.2008
565,81.08,Sergey Litvinov,RUS,23.01.58,1,Moskva,21.06.1980
565,81.08,Sergey Litvinov,RUS,23.01.58,1,Podolsk,12.07.1980
565,81.08,Igor Nikulin,RUS,14.08.60,1,Leningrad,13.05.1982
565,81.08,Ralf Haber,GER,18.08.62,2,Berlin,13.09.1988
565,81.08,Lance Deal,USA,21.08.61,1,Eugene,16.05.1992
565,81.08,Koji Murofushi,JPN,08.10.74,1,Yokohama,09.09.2000
565,81.08,Tibor Gécsek,HUN,22.09.64,2,Debrecen,25.07.2002
565,81.08,Krisztián Pars,HUN,18.02.82,2,Velenje,01.07.2014
565,81.08,Pawel Fajdek,POL,04.06.89,1,Czestochowa,03.09.2016
574,81.07,Koji Murofushi,JPN,08.10.74,5,Szombathely,14.07.2002
575,81.06,Jüri Tamm,EST,05.02.57,1,Rovno,05.05.1984
575,81.06,Jüri Tamm,EST,05.02.57,1,Moskva,09.06.1985
575,81.06,Sergey Kirmasov,RUS,25.03.70,1,Bryansk,29.05.1993
575,81.06,Igor Astapkovich,BLR,04.01.63,1,Padova,07.06.1997
575,81.06,Adrián Annus,HUN,28.06.73,3,Athínai,10.06.2002
575,81.06,Markus Esser,GER,03.02.80,1,Schönebeck,16.06.2006
581,81.05,Christophe Épalle,FRA,23.01.69,1,L'Aigle,28.04.2002
582,81.04,Igor Astapkovich,BLR,04.01.63,1,Berlin,21.08.1992
582,81.04,Andrey Abduvaliyev,UZB,30.06.66,1,Königs Wusterhausen,28.08.1994
582,81.04,Heinz Weis,GER,14.07.63,1,Stendal,30.08.1997
582,81.04,Ivan Tikhon,BLR,24.07.76,1,Tula,08.06.2003
586,81.03,Wojciech Nowicki,POL,22.02.89,2,Eugene,16.07.2022
587,81.02,Juha Tiainen,FIN,05.12.55,1,Mäntyharju,30.08.1983
587,81.02,Igor Nikulin,RUS,14.08.60,1,Adler,24.02.1986
587,81.02,Igor Nikulin,RUS,14.08.60,1,Budapest,06.07.1987
587,81.02,Tibor Gécsek,HUN,22.09.64,1,Szombathely,25.07.1992
587,81.02,Koji Murofushi,JPN,08.10.74,1,Kawasaki,23.09.2008
587,81.02,Krisztián Pars,HUN,18.02.82,1,Szczecin,15.06.2013
587,81.02,Wojciech Nowicki,POL,22.02.89,2,Budapest,20.08.2023
594,81.01,Balázs Kiss,HUN,21.03.72,1,Osaka,09.05.1998
594,81.01,Adrián Annus,HUN,28.06.73,1,Szombathely,30.05.1998
594,81.01,Ivan Tikhon,BLR,24.07.76,1,Stayki,09.06.2007
594,81.01,Ivan Tikhon,BLR,24.07.76,1,Stayki,09.06.2007
598,81.00,Andrey Abduvaliyev,UZB,30.06.66,1,Adler,26.02.1989
598,81.00,Tibor Gécsek,HUN,22.09.64,1,Budapest,06.08.1993
598,81.00,Igor Astapkovich,BLR,04.01.63,1,Minsk,11.02.2000
598,81.00,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,03.07.2005
598,81.00,Koji Murofushi,JPN,08.10.74,1,Yokohama,24.09.2006
603,80.99,Tibor Gécsek,HUN,22.09.64,1,Budapest,27.06.1999
603,80.99,Lance Deal,USA,21.08.61,1,Nice,08.07.2000
603,80.99,Tibor Gécsek,HUN,22.09.64,1,Szombathely,03.07.2001
603,80.99,David Chaussinand,FRA,19.04.73,2,Rüdlingen,19.08.2001
603,80.99,Koji Murofushi,JPN,08.10.74,q,Rieti,28.08.2010
608,80.98,Jüri Tamm,EST,05.02.57,2,Torino,29.05.1987
608,80.98,Vasiliy Sidorenko,RUS,01.05.61,2,Sochi,26.05.1990
608,80.98,Tibor Gécsek,HUN,22.09.64,3,Göteborg,06.08.1995
608,80.98,Loris Paoluzzi,ITA,14.05.74,1,Pescara,04.07.1999
608,80.98,Vladimir Maska,CZE,06.02.73,1,Plzen,16.07.2000
608,80.98,Koji Murofushi,JPN,08.10.74,1,Kawasaki,27.06.2008
608,80.98,Sergey Litvinov,RUS,27.01.86,1,Moskva,13.06.2012
615,80.97,Krisztián Pars,HUN,18.02.82,1,Szombathely,27.09.2006
616,80.96,Aleksandr Seleznyov,RUS,25.01.63,2,Sevilla,05.06.1994
616,80.96,Vadim Devyatovskiy,BLR,20.03.77,2,Stayki,18.08.2000
616,80.96,Krisztián Pars,HUN,18.02.82,4,Beijing,17.08.2008
616,80.96,Koji Murofushi,JPN,08.10.74,1,Rieti,29.08.2010
616,80.96,Aleksey Zagornyi,RUS,31.05.78,1,Sochi,24.05.2011
616,80.96,Pawel Fajdek,POL,04.06.89,1,Rieti,12.09.2015
616,80.96,Ethan Katzberg,CAN,05.04.02,1,Santiago de Chile04.11.2023
623,80.95,Aleksandr Krikun,UKR,01.03.68,1,Belaya Tserkov,15.05.2002
624,80.94,Sergey Litvinov,RUS,23.01.58,2,Athínai,02.09.1982
624,80.94,Yuriy Syedikh,RUS,11.06.55,2,Helsinki,09.08.1983
624,80.94,Igor Astapkovich,BLR,04.01.63,2,Tokyo,25.08.1991
624,80.94,Adrián Annus,HUN,28.06.73,1,Szombathely,26.04.2003
628,80.93,Adrián Annus,HUN,28.06.73,1,Madrid,20.09.2002
628,80.93,Adrián Annus,HUN,28.06.73,2,Osaka,08.05.2004
628,80.93,Krisztián Pars,HUN,18.02.82,5,Osaka,27.08.2007
628,80.93,Pawel Fajdek,POL,04.06.89,1,Amsterdam,10.07.2016
632,80.92,Matthias Moder,GDR,17.06.63,1,Halle,11.06.1985
632,80.92,Igor Nikulin,RUS,14.08.60,4,Leningrad,12.06.1988
632,80.92,Tibor Gécsek,HUN,22.09.64,1,Szombathely,03.10.1990
632,80.92,Bence Halász,HUN,04.08.97,2,München,18.08.2022
636,80.90,Yuriy Syedikh,RUS,11.06.55,2,Tokyo,08.10.1988
636,80.90,Yaroslav Chmyr,UKR,29.11.67,1,Chernigov,02.06.1990
636,80.90,Sergey Litvinov,RUS,23.01.58,1,Bratislava,20.06.1990
636,80.90,Heinz Weis,GER,14.07.63,1,Dortmund,20.07.1996
636,80.90,Igor Astapkovich,BLR,04.01.63,1,Hengelo,28.05.2000
636,80.90,Krisztián Pars,HUN,18.02.82,1,Zalaegerszeg,13.06.2004
636,80.90,Vadim Devyatovskiy,BLR,20.03.77,2,Minsk,07.07.2004
636,80.90,Vadim Devyatovskiy,BLR,20.03.77,q,Minsk,08.07.2004
636,80.90,Wojciech Nowicki,POL,22.02.89,1,Suwalki,10.06.2022
645,80.89,Vasiliy Sidorenko,RUS,01.05.61,1,Uniondale,22.07.1998
645,80.89,Maciej Palyszko,POL,02.01.78,2,Bydgoszcz,13.07.2003
645,80.89,Sergey Litvinov,RUS,27.01.86,1,Moskva,15.07.2013
648,80.88,Juha Tiainen,FIN,05.12.55,1,Turku,26.06.1984
648,80.88,Jud Logan,USA,19.07.59,1,Walnut,27.04.1986
648,80.88,Jüri Tamm,EST,05.02.57,1,Leselidze,18.05.1986
648,80.88,Klaus Ploghaus,FRG,31.01.56,1e1,Paderborn,24.05.1986
648,80.88,Benjaminas Viluckis,LTU,20.03.61,1,Kaunas,12.09.1986
648,80.88,Benjaminas Viluckis,LTU,20.03.61,2,Tallinn,28.06.1987
648,80.88,Heinz Weis,GER,14.07.63,1,Rehlingen,02.06.1990
648,80.88,Igor Astapkovich,BLR,04.01.63,2,Moskva,10.06.1990
648,80.88,Andrey Abduvaliyev,UZB,30.06.66,2,Sevilla,05.06.1993
648,80.88,Lance Deal,USA,21.08.61,1,Eugene,31.05.1998
648,80.88,Tibor Gécsek,HUN,22.09.64,2,Budapest,10.07.1998
648,80.88,Vladislav Piskunov,UKR,07.06.78,1,Kyiv,05.08.2000
648,80.88,Nicolas Figère,FRA,19.05.79,1,Amsterdam,15.07.2001
648,80.88,Pawel Fajdek,POL,04.06.89,1,Beijing,23.08.2015
648,80.88,Pawel Fajdek,POL,04.06.89,1,Cetniewo,03.08.2019
648,80.88,Rudy Winkler,USA,06.12.94,1,Tucson,20.05.2023
664,80.87,Balázs Kiss,HUN,21.03.72,2,Veszprém,14.08.1999
664,80.87,Szymon Ziólkowski,POL,01.07.76,1,Bremen,23.06.2001
664,80.87,Libor Charfreitag,SVK,11.09.77,3,Bydgoszcz,10.06.2007
664,80.87,Pawel Fajdek,POL,04.06.89,1,Chorzów,16.06.2019
664,80.87,Eivind Henriksen,NOR,14.09.90,3,Eugene,16.07.2022
669,80.86,Igor Nikulin,RUS,14.08.60,1,Kyiv,14.08.1982
669,80.86,Balázs Kiss,HUN,21.03.72,1,Eugene,31.05.1996
669,80.86,Szymon Ziólkowski,POL,01.07.76,2,Osaka,12.05.2001
669,80.86,Wojciech Nowicki,POL,22.02.89,2,Poznan,25.06.2021
673,80.85,Tibor Gécsek,HUN,22.09.64,1,Szombathely,10.09.2000
673,80.85,Aleksandr Krikun,UKR,01.03.68,4,Athínai,10.06.2002
673,80.85,Libor Charfreitag,SVK,11.09.77,1,Dallas,02.04.2005
673,80.85,Krisztián Pars,HUN,18.02.82,1,Madrid,07.07.2012
677,80.84,Yuriy Syedikh,RUS,11.06.55,1,Donetsk,08.09.1980
677,80.84,Igor Nikulin,RUS,14.08.60,1,Helsinki,04.07.1984
677,80.84,Jüri Tamm,EST,05.02.57,2,Roma,01.09.1987
677,80.84,Heinz Weis,GER,14.07.63,1,Rhede,29.07.1994
677,80.84,Heinz Weis,GER,14.07.63,1,Leverkusen,09.08.1998
677,80.84,Ivan Tikhon,BLR,24.07.76,3,Szombathely,07.09.2003
677,80.84,Olli-Pekka Karjalainen FIN,07.03.80,1,Göteborg,12.08.2006
677,80.84,Primoz Kozmus,SLO,30.09.79,1,Berlin,17.08.2009
685,80.83,Karsten Kobs,GER,16.09.71,1A,Dortmund,31.07.1999
