Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
1997,01.06.1997,100 km Lauf Hittfeld - 50km Split (GER),50km,1,12142.0,TUS Germania Schnelsen,GER,1957.0,M,M40,14.825,114607
2000,30.09.2000,100 km Lauf Neuwittenbek - 50 km Split (GER),50km,46,12270.0,*Meilen,SUI,1964.0,M,M35,14.67,242469
1995,30.04.1995,100 km Lauf Pfalzgrafenweiler - Offener Lauf - 50km Split (GER),50km,124,12223.0,LG Offenbach,GER,1957.0,M,M35,14726.0,58891
1993,04.09.1993,100 km Lauf Rheine-Elte - 50km Split (GER),50km,1,14100.0,*Tübingen,GER,1973.0,F,W20,12766.0,880791
1992,05.09.1992,100 km Lauf Rheine-Elte - 50km Split (GER),50km,6,11746.0,SG Waldorf,GER,1956.0,M,M35,15324.0,1097115
2002,31.08.2002,100 km Lauf Rheine-Elte - 50km Split (GER),50km,2,11820.0,TV Jahn Kempten,GER,1962.0,M,M40,15.228,5286
1996,07.09.1996,100 km Lauf Unna-Lünern - 50km Split (GER),50km,62,12927.0,TuS Sythen von 1923 e.V.,GER,1957.0,M,M35,13.924,364439
1989,30.09.1989,100 km Lauf Unna-Lünern - 50km Split (GER),50km,197,11247.0,Triathlon Hub,GER,1950.0,M,M35,16004.0,423462
1997,18.10.1997,100 km Lauf Warburg -50km Split (GER),50km,12,13238.0,SC Roth,GER,1951.0,M,M45,13.597,413316
2001,12.05.2001,100 km Neuwittenbek - 50 km Split (GER),50km,3,12102.0,TSV Neustadt,GER,1955.0,M,M45,14.874,594943
1992,16.10.1992,100 km Neuwittenbek - 50km Split (GER),50km,8,12192.0,SV Chemie Berlin,GER,1965.0,M,M20,14764.0,1049989
1997,21.06.1997,100 km Neuwittenbek - 50km Split (GER),50km,41,11060.0,LAV Husum,GER,1954.0,M,M40,16.275,1049580
1996,21.09.1996,100 km Neuwittenbek - 50km Split (GER),50km,51,11239.0,MTP Hersbruck,GER,1956.0,M,M40,16.016,1047119
1997,08.03.1997,100 km Parco Lago Segrino - 50km Split (ITA),50km,27,12279.0,Equipe Ultra-Marathon,ITA,1965.0,M,M23,14.659,706942
2000,29.10.2000,100 km Peter-Lauf - 50 km Split (GER),50km,1,12037.0,SV Kirchzarten,GER,1971.0,M,M20,14.954,592313
2009,17.10.2009,100 km Pista Terrassa - 50km Split (ESP),50km,10,13348.0,,ESP,1984.0,M,M23,13.485,1267728
2008,18.10.2008,100 km Pista Terrassa - 50km Split (ESP),50km,16,14255.0,,ESP,1969.0,M,M35,12.627,17995
2014,18.10.2014,100 km Pista Terrassa - 50km Split (ESP),50km,12,12677.0,,ESP,1967.0,M,M45,14.199,276157
2013,19.10.2013,100 km Pista Terrassa - 50km Split (ESP),50km,9,13732.0,Marathon Horizonte,ESP,1960.0,M,M50,13.108,146537
2011,22.10.2011,100 km Pista Terrassa - 50km Split (ESP),50km,15,13947.0,Club Muntanyenc Sant C...,ESP,1969.0,M,M40,12.906,17995
2010,23.10.2010,100 km Pista Terrassa - 50km Split (ESP),50km,16,11745.0,Adidas Domingo Catalan,ESP,1979.0,M,M23,15.326,386920
2016,18.06.2016,100 km Run Palic - 50km Split (SRB),50km,2,15543.0,,SRB,1965.0,M,M50,11.581,141093
2004,04.09.2004,100 km Trieste su pista - 50 km split (ITA),50km,7,15582.0,,ITA,1966.0,M,M35,11.552,262777
2003,28.06.2003,100 km Trieste su pista - 50 km split (ITA),50km,6,16123.0,,ITA,1952.0,M,M50,11.164,1052722
2013,11.05.2013,100 km Ultramaraton (Forrest Gump) Zagreb - 50km Split (CRO),50km,19,15080.0,Tekaški forum,SLO,1973.0,M,M35,11.936,100940
1983,18.06.1983,100 km de Carmaux - 50 km Split (FRA),50km,10,12168.0,Asptt Perpignan,FRA,1952.0,M,M23,14793.0,1065842
1995,09.07.1995,100 km de Cléder - Champ. Nationaux - 50 km Split (FRA),50km,360,11460.0,AS J. Cartier St-Malo,FRA,1952.0,M,M40,15707.0,1050284
1911,30.04.1911,100 km de Gentilly - National Championship - 50 km Split (FRA),50km,1,12995.0,,FRA,,M,,13851.0,1521090
2003,28.06.2003,100 km de Viana do Castelo - 50km Split (POR),50km,32,12231.0,PÉ Q VOA,BRA,1968.0,M,M35,14.717,293773
1996,16.06.1996,100 km de la Division Leclerc - 50km Split (FRA),50km,17,12190.0,Apsape Champcueil,FRA,1958.0,M,M35,14.766,1062131
1995,28.05.1995,100 km de la Division Leclerc - 50km Split (FRA),50km,11,13092.0,Apsape Champcueil,FRA,1958.0,M,M35,13749.0,1062131
1997,13.09.1997,100 km de la Ville de Nantes - 50km split (FRA),50km,1,11830.0,,ITA,1965.0,M,M23,15.216,706942
2002,07.04.2002,100 km di Camporosso - 50km split (ITA),50km,11,13426.0,Smile & GO - Avezzano,ITA,1963.0,M,M35,13.407,1119635
2001,08.04.2001,100 km di Camporosso - 50km split (ITA),50km,18,13170.0,GP Valchiavenna Shell SO,ITA,1955.0,M,M45,13.667,252685
2013,10.11.2013,100 km en Pista Ciutat de Palma - 50km Split (ESP),50km,9,14025.0,,GBR,1973.0,F,W40,12.834,1264681
