Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2019,23.11.2019,Blood Rock 50 km Race (USA),50km,48,22344.0,"*Auburn, AL",USA,1992.0,M,M23,8.056,802433
2018,29.09.2018,Blood Rock 50 km Race (USA),50km,31,22688.0,"*Huntsville, AL",USA,1988.0,M,M23,7.934,19315
2021,20.03.2021,"Blood, Sweat & Beers - NV 50km Race (USA)",50km,31,17629.0,"*Reno, NV",USA,1989.0,M,M23,10.21,718513
2022,26.03.2022,"Blood, Sweat & Beers - NV 50km Race (USA)",50km,16,19036.0,"*Colorado Springs, CO",USA,1989.0,M,M23,9.456,744538
2013,13.07.2013,Blue Blazes Ultra Stage Race 50 km Run (USA),50km,12,14859.0,"*Columbia, MD",USA,1978.0,M,M23,12.114,47419
2010,05.06.2010,Blue Canyon 50 km Trail Race (USA),50km,38,19740.0,"*Eagle River, AK",USA,1978.0,M,M23,9.119,140821
2009,06.06.2009,Blue Canyon 50 km Trail Race (USA),50km,40,24676.0,"*North Hollywood, CA",USA,1974.0,M,M23,7.295,547090
2022,08.10.2022,Blue Ridge 50km Ultra (USA),50km,86,18552.0,"*Dalton, GA",USA,1990.0,M,M23,9.702,128055
2021,09.10.2021,Blue Ridge 50km Ultra (USA),50km,106,16118.0,"*Atlanta, GA",USA,1995.0,M,M23,11.168,470776
2020,10.10.2020,Blue Ridge 50km Ultra (USA),50km,139,16399.0,"*Harrison, TN",USA,1999.0,M,MU23,10.976,372912
2019,12.10.2019,Blue Ridge 50km Ultra (USA),50km,46,21360.0,"*Fort Lauderdale, FL",USA,1983.0,F,W35,8.427,433923
2009,04.10.2009,Blue Sky 50K (USA),50km,42,14748.0,"*Greeley, CO",USA,1979.0,M,M23,12.205,151110
1999,14.11.1999,Blue Springs 50km Run (USA),50km,20,12795.0,*NE,USA,1964.0,M,M35,14.068,229488
2018,18.11.2018,Blue Springs 50km Run (USA),50km,2,16912.0,,USA,1978.0,M,M35,10.643,358721
2005,23.10.2005,Blue Springs 50km Run (USA),50km,21,13346.0,"*Raytown, MO",USA,1968.0,M,M35,13.487,1094735
2004,24.10.2004,Blue Springs 50km Run (USA),50km,15,16568.0,"*Leawood, KS",USA,1961.0,M,M40,10.864,1164337
2009,25.10.2009,Blue Springs 50km Run (USA),50km,18,15544.0,"*Lyndon, KS",USA,1969.0,M,M35,11.58,454111
2007,28.10.2007,Blue Springs 50km Run (USA),50km,13,13713.0,"*Joplin, MO",USA,1954.0,M,M50,13.126,1218027
2012,28.10.2012,Blue Springs 50km Run (USA),50km,11,16756.0,,USA,1979.0,M,M23,10.742,1144359
2006,29.10.2006,Blue Springs 50km Run (USA),50km,26,13531.0,"*Plattsmouth, NE",USA,1964.0,M,M40,13.303,229488
2010,31.10.2010,Blue Springs 50km Run (USA),50km,12,12888.0,"*Manhattan, KS",USA,1963.0,M,M45,13.966,12054
2016,21.02.2016,Blue Whale Ultramarathon 50 Km (TPE),50km,513,15780.0,,TPE,1983.0,M,M23,11.407,51203
2022,06.08.2022,Bluegrass Reaper 50km Challenge (USA),50km,17,13716.0,"*Fort Mill, SC",USA,1986.0,M,M35,13.123,1009261
2021,07.08.2021,Bluegrass Reaper 50km Challenge (USA),50km,37,13222.0,,USA,,M,,13.614,885982
2017,01.10.2017,Blues Cruise 50K Ultra Trail (USA),50km,370,13498.0,"*Elkton, MD",USA,1991.0,M,M23,13.335,57251
2011,02.10.2011,Blues Cruise 50K Ultra Trail (USA),50km,222,14523.0,,USA,1975.0,M,M35,12.394,1269560
2016,02.10.2016,Blues Cruise 50K Ultra Trail (USA),50km,308,13452.0,"*Fanwood, NJ",USA,1983.0,M,M23,13.381,381489
2022,02.10.2022,Blues Cruise 50K Ultra Trail (USA),50km,222,14850.0,"*New Hope, PA",USA,1995.0,F,W23,12.121,228556
2010,03.10.2010,Blues Cruise 50K Ultra Trail (USA),50km,204,12847.0,"*La Porte, TX",USA,1978.0,M,M23,14.011,1030463
2021,03.10.2021,Blues Cruise 50K Ultra Trail (USA),50km,256,14790.0,"*Lititz, PA",USA,1965.0,M,M55,12.17,86102
2009,04.10.2009,Blues Cruise 50K Ultra Trail (USA),50km,138,14001.0,,USA,1975.0,M,M23,12.856,1269560
2015,04.10.2015,Blues Cruise 50K Ultra Trail (USA),50km,290,13508.0,"*West Chester, PA",USA,1975.0,M,M35,13.325,1501712
2008,05.10.2008,Blues Cruise 50K Ultra Trail (USA),50km,103,13096.0,*Wales,GBR,1970.0,M,M35,13.745,1055265
2014,05.10.2014,Blues Cruise 50K Ultra Trail (USA),50km,259,12773.0,"*Fanwood, PA",USA,1983.0,M,M23,14.092,381489
2013,06.10.2013,Blues Cruise 50K Ultra Trail (USA),50km,283,13510.0,"*Denver, PA",USA,1992.0,M,MU23,13.323,265273
2019,06.10.2019,Blues Cruise 50K Ultra Trail (USA),50km,354,14009.0,"*Highland Park, NJ",USA,1983.0,M,M35,12.849,381489
2006,07.10.2006,Blues Cruise 50K Ultra Trail (USA),50km,80,14410.0,"*New York, NY",USA,1970.0,M,M35,12.491,1196389
2007,07.10.2007,Blues Cruise 50K Ultra Trail (USA),50km,89,15360.0,*PA,USA,1975.0,M,M23,11.719,1167158
2012,07.10.2012,Blues Cruise 50K Ultra Trail (USA),50km,231,13404.0,"*Haddonfield, NJ",USA,1981.0,M,M23,13.429,1375599
2018,07.10.2018,Blues Cruise 50K Ultra Trail (USA),50km,311,13394.0,"*Lancaster, PA",USA,1992.0,M,M23,13.439,325359
2022,02.07.2022,Bob Marshall Trail 50K (USA),50km,18,16730.0,,CAN,1991.0,M,M23,10.759,215503
2022,22.10.2022,Bobcat Trail Race 50k (USA),50km,17,15959.0,"*Colorado Springs, CO",USA,1991.0,M,M23,11.279,919273
2021,23.10.2021,Bobcat Trail Race 50k (USA),50km,33,16398.0,"*Colorado Springs, CO",USA,1985.0,M,M35,10.977,76097
2016,24.09.2016,Bobcat Trail Race 50k (USA),50km,10,18732.0,"*Denver, CO",USA,1993.0,M,MU23,9.609,123286
2015,26.09.2015,Bobcat Trail Race 50k (USA),50km,12,21662.0,"*Colorado Springs, CO",USA,1961.0,M,M50,8.309,202565
2012,01.07.2012,Boddington 50 Km Road Race (GBR),50km,22,10211.0,Victoria Park Harriers,GBR,1979.0,M,M23,17.628,65579
2004,01.08.2004,Boddington 50 Km Road Race (GBR),50km,33,11706.0,Royal Navy AC,GBR,1970.0,M,M23,15.377,84335
2008,10.08.2008,Boddington 50 Km Road Race (GBR),50km,7,11896.0,City of Stoke/Royal Navy,GBR,1970.0,M,M35,15.131,84335
2006,13.08.2006,Boddington 50 Km Road Race (GBR),50km,61,11167.0,Woodstock Harriers,GBR,1966.0,M,M35,16.119,1093170
2009,17.05.2009,Boddington 50 Km Road Race (GBR),50km,23,11219.0,Horwich RMI,GBR,1973.0,M,M35,16.044,1254909
2010,19.06.2010,Boddington 50 Km Road Race (GBR),50km,49,11327.0,Thames Hare & Hounds,GBR,1977.0,M,M23,15.891,562869
2007,19.08.2007,Boddington 50 Km Road Race (GBR),50km,39,11590.0,Thames Hare & Hounds,GBR,1977.0,M,M23,15.531,562869
2017,25.06.2017,Boddington 50 Km Road Race (GBR),50km,13,11758.0,,GBR,1984.0,M,M23,15.309,53709
2005,31.07.2005,Boddington 50 Km Road Race (GBR),50km,62,11309.0,A.F.D,GBR,1980.0,M,M23,15.917,1183548
2017,01.07.2017,Boden Fortress (SWE),50km,43,14062.0,Lulekamraterna,SWE,1997.0,M,MU23,12.8,244934
2018,02.07.2018,Boden Fortress (SWE),50km,25,14149.0,,SWE,,M,,12.722,244930
2021,03.07.2021,Boden Fortress (SWE),50km,16,15015.0,*Järfälla,SWE,1979.0,M,M40,11.988,233747
2019,29.06.2019,Boden Fortress (SWE),50km,34,13573.0,Lulekamraterna,SWE,1997.0,M,MU23,13.262,244934
2018,19.08.2018,Bogdkhan Mountain Trail (MGL),50km,58,17992.0,,JPN,1984.0,M,M23,10.004,212756
2012,14.10.2012,Boggs Mountain Boogie 50K (USA),50km,4,22277.0,"*Hidden Valley Lake, CA",USA,1958.0,M,M50,8.08,400177
2011,16.10.2011,Boggs Mountain Boogie 50K (USA),50km,14,21240.0,,USA,1983.0,M,M23,8.475,19026
2010,30.10.2010,Boggs Mountain Trail Race (USA),50km,37,16019.0,"*Healdsburg, CA",USA,1972.0,M,M35,11.237,292862
2017,19.-20.08.2017,Bogo 50km Ultramarathon (PHI),50km,42,36416.0,,PHI,1977.0,M,M35,4.943,34894
2022,01.10.2022,Bogus 50 Km Race (USA),50km,68,14355.0,"*Meridian, ID",USA,1980.0,M,M40,12.539,1021238
2021,02.10.2021,Bogus 50 Km Race (USA),50km,46,17253.0,"*Twin Falls, ID",USA,1997.0,M,M23,10.433,924702
2019,05.10.2019,Bogus 50 Km Race (USA),50km,56,18142.0,"*Boise, ID",USA,1987.0,M,M23,9.922,235912
2013,27.04.2013,Bohol Sundown Ultra Marathon 50 km (PHI),50km,91,14216.0,Runroo,PHI,,M,,12.662,535113
2020,28.11.2020,Bokoa Combo Platter 50 km Race (USA),50km,7,24300.0,"*Kailua-Kona, HI",USA,1974.0,M,M45,7.407,69682
2021,20.02.2021,Bokoa Spring Fling 50 km Race (USA),50km,9,18240.0,"*Durango, CO",USA,1992.0,M,M23,9.868,37196
2008,07.09.2008,Bol d’Air de la Forêt de Mervent (FRA),50km,47,14239.0,AC la Roche S/Yon,FRA,1972.0,M,M35,12.641,1244656
2014,07.09.2014,Bol d’Air de la Forêt de Mervent (FRA),50km,75,14864.0,,FRA,1977.0,M,M35,12.11,82570
2007,09.09.2007,Bol d’Air de la Forêt de Mervent (FRA),50km,66,13687.0,AC la Roche S/Yon,FRA,1969.0,M,M35,13.151,554986
2012,09.09.2012,Bol d’Air de la Forêt de Mervent (FRA),50km,70,15000.0,,FRA,1965.0,M,M45,12.0,368410
2018,09.09.2018,Bol d’Air de la Forêt de Mervent (FRA),50km,95,15245.0,Team Sobhi Sport Nantes,FRA,1971.0,M,M45,11.807,49244
2006,10.09.2006,Bol d’Air de la Forêt de Mervent (FRA),50km,42,12754.0,Angelique Club Niort,FRA,1964.0,M,M40,14.113,506054
2017,10.09.2017,Bol d’Air de la Forêt de Mervent (FRA),50km,80,14928.0,Charentais Montagnards,FRA,1975.0,M,M40,12.058,275510
2005,11.09.2005,Bol d’Air de la Forêt de Mervent (FRA),50km,48,13818.0,Ac La Roche S/Yon,FRA,1967.0,M,M35,13.026,1151881
2011,11.09.2011,Bol d’Air de la Forêt de Mervent (FRA),50km,76,15223.0,,FRA,1964.0,M,M45,11.824,385969
2016,11.09.2016,Bol d’Air de la Forêt de Mervent (FRA),50km,66,15874.0,Courir A St Gervais,FRA,1978.0,M,M35,11.339,396736
2022,11.09.2022,Bol d’Air de la Forêt de Mervent (FRA),50km,82,15060.0,SCR,FRA,1988.0,M,M23,11.952,30197
2004,12.09.2004,Bol d’Air de la Forêt de Mervent (FRA),50km,71,13459.0,Athletique Sud Vendee,FRA,1967.0,M,M35,13.374,1151881
2010,12.09.2010,Bol d’Air de la Forêt de Mervent (FRA),50km,102,14039.0,Cote de Jade A.C,FRA,1974.0,M,M35,12.821,238256
2009,13.09.2009,Bol d’Air de la Forêt de Mervent (FRA),50km,81,13962.0,Fontenay Triathlon,FRA,1967.0,M,M40,12.892,1151881
2015,13.09.2015,Bol d’Air de la Forêt de Mervent (FRA),50km,61,15644.0,,FRA,1978.0,M,M35,11.506,29306
2003,14.09.2003,Bol d’Air de la Forêt de Mervent (FRA),50km,95,12224.0,,FRA,1967.0,M,M35,14.725,436476
2009,22.11.2009,Bolivarian Games (BOL),50km,2,15847.0,,ECU,1981.0,M,M23,11.359,1209809
2005,21.08.2005,Bolivarian Games (COL),50km,3,14947.0,,ECU,1979.0,M,M23,12.043,1182925
2017,22.11.2017,Bolivarian Games (COL),50km,3,15260.0,,ECU,1983.0,M,M23,11.796,41020
2019,27.11.2019,Bolivarian Games (COL),50km,3,14718.0,Bogotá D.C.,COL,1992.0,M,M23,12.23,145402
2013,29.11.2013,Bolivarian Games (PER),50km,6,14330.0,Racewalker,ECU,1983.0,M,M23,12.561,41020
2017,04.02.2017,Boller Slot Ultra 50 Km (DEN),50km,9,13287.0,,DEN,1982.0,M,M23,13.547,21444
2017,04.03.2017,Boller Slot Ultra 50 Km (DEN),50km,5,15679.0,,DEN,1970.0,M,M45,11.48,410189
2017,07.01.2017,Boller Slot Ultra 50 Km (DEN),50km,6,16440.0,,DEN,1971.0,M,M45,10.949,1970
2012,10.11.2012,Bona Dea 50K (USA),50km,26,15206.0,,USA,1987.0,M,M23,11.837,387910
2011,12.11.2011,Bona Dea 50K (USA),50km,18,13632.0,"*Fayetteville, AR",USA,1991.0,M,MU23,13.204,389987
2010,13.11.2010,Bona Dea 50K (USA),50km,23,12369.0,"*Little Rock, AR",USA,1979.0,F,W23,14.553,1280217
2015,14.11.2015,Bona Dea 50K (USA),50km,27,14020.0,"*Little Rock, AR",USA,1988.0,M,M23,12.839,1482306
2014,15.11.2014,Bona Dea 50K (USA),50km,25,15633.0,,USA,1960.0,M,M50,11.514,387911
2013,16.11.2013,Bona Dea 50K (USA),50km,29,13635.0,,USA,1978.0,M,M23,13.201,483768
2022,03.09.2022,Booneville Backroads Ultra 50 Km (USA),50km,33,13140.0,"*Grimes, IA",USA,1992.0,M,M23,13.699,297732
2021,04.09.2021,Booneville Backroads Ultra 50 Km (USA),50km,41,15809.0,"*Omaha, NE",USA,1986.0,F,W23,11.386,201981
2020,05.09.2020,Booneville Backroads Ultra 50 Km (USA),50km,39,13182.0,,USA,1992.0,M,M23,13.655,297732
2015,23.05.2015,Booneville Backroads Ultra 50 Km (USA),50km,24,14232.0,,USA,1980.0,M,M23,12.648,692293
2014,24.05.2014,Booneville Backroads Ultra 50 Km (USA),50km,36,13757.0,"*Bondurant, IA",USA,1981.0,M,M23,13.084,576545
2019,25.05.2019,Booneville Backroads Ultra 50 Km (USA),50km,50,16515.0,*Des Moines,USA,1980.0,M,M35,10.899,692293
2018,26.05.2018,Booneville Backroads Ultra 50 Km (USA),50km,38,16450.0,*Urbandale,USA,1974.0,M,M40,10.942,191682
2017,27.05.2017,Booneville Backroads Ultra 50 Km (USA),50km,50,13678.0,"*Des Moines, IA",USA,1984.0,M,M23,13.16,571370
2016,28.05.2016,Booneville Backroads Ultra 50 Km (USA),50km,54,15556.0,"*Iowa City, IA",USA,1969.0,M,M45,11.571,387280
2011,05.11.2011,Bootlegger 50K (USA),50km,44,14998.0,"*Scottsdale, AZ",USA,1986.0,M,M23,12.002,86665
2015,07.11.2015,Bootlegger 50K (USA),50km,10,18618.0,"*Las Vegas, NV",USA,1980.0,M,M23,9.668,1327657
2020,07.11.2020,Bootlegger 50K (USA),50km,17,17691.0,"*Las Vegas, NV",USA,1987.0,M,M23,10.175,853097
2014,08.11.2014,Bootlegger 50K (USA),50km,28,14251.0,*Flagstaff,USA,1976.0,M,M35,12.631,105257
2013,09.11.2013,Bootlegger 50K (USA),50km,78,12798.0,"*San Rafael, CA",USA,1985.0,M,M23,14.065,323114
2012,10.11.2012,Bootlegger 50K (USA),50km,56,13192.0,"*Flagstaff, AZ",USA,1976.0,M,M35,13.645,338477
2022,09.10.2022,Borc Trail (ITA),50km,176,17513.0,Team Asics,ITA,1992.0,M,M23,10.278,650713
2021,10.10.2021,Borc Trail (ITA),50km,172,19905.0,,ITA,1988.0,M,M23,9.043,625323
2022,11.06.2022,Borderland Ultra (GER),50km,30,16038.0,Rennsteiglaufverein / ...,GER,1984.0,M,M35,11.223,278746
2021,25.09.2021,Borderland Ultra (GER),50km,52,14216.0,Markgräfler Runners Club,GER,1991.0,M,M30,12.662,832022
2020,26.09.2020,Borderland Ultra (GER),50km,131,14129.0,Rennsteiglaufverein/Lg...,GER,1984.0,M,M35,12.74,278746
2022,19.11.2022,Borecka Lekuk Trail (POL),50km,68,11663.0,Adrianbednarek.PL,POL,1990.0,M,M23,15.433,1035074
2021,20.11.2021,Borecka Lekuk Trail (POL),50km,44,13075.0,Agrobros,POL,,M,,13.767,939455
2011,14.05.2011,Born to Run Ultra 50 km Marathon (USA),50km,31,13680.0,"*Porterville, CA",USA,1974.0,M,M35,13.158,1326405
2014,17.05.2014,Born to Run Ultra 50 km Marathon (USA),50km,269,11835.0,,USA,1987.0,M,M23,15.209,86669
2013,18.05.2013,Born to Run Ultra 50 km Marathon (USA),50km,198,13783.0,"*Manhattan Beach, CA",USA,1979.0,M,M23,13.06,27915
2020,16.02.2020,Borneo Dragon Back 50km (MAS),50km,58,19942.0,,ITA,1986.0,M,M23,9.026,556968
2020,29.02.2020,Borneo Four Feathers Ultra Marathon 50km (MAS),50km,156,22338.0,,GBR,1989.0,M,M23,8.058,327677
2016,04.-05.06.2016,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,190,22251.0,,MAS,1984.0,M,M23,8.09,131636
2019,09.03.2019,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,356,20437.0,,KOR,1988.0,M,M23,8.808,32081
2018,10.03.2018,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,293,20733.0,Taiwan Beast Runners,CZE,1985.0,M,M23,8.682,24330
2020,14.03.2020,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,275,21883.0,,MAS,1975.0,M,M40,8.226,820543
2017,18.02.2017,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,235,24338.0,,MAS,1968.0,M,M45,7.396,31439
2022,19.03.2022,Borneo Ultra Trail Marathon BUTM - 50 km (MAS),50km,172,23391.0,the North Face Adventu...,MAS,1983.0,M,M35,7.695,24331
2002,06.04.2002,Borås 50km walking (SWE),50km,2,13767.0,,NOR,1976.0,M,M23,13.075,1086362
2017,07.07.2017,Borås Ultra 50km (SWE),50km,21,13182.0,Kungsäters IF,SWE,,M,,13.655,476339
2021,13.02.2021,Bosque Bigfoot Race (USA),50km,19,14143.0,"*Albuquerque, NM",USA,1990.0,M,M23,12.727,368321
2018,24.11.2018,Bosque Bigfoot Race (USA),50km,16,14420.0,"*Santa Monica, CA",USA,1996.0,M,MU23,12.483,356417
2017,25.11.2017,Bosque Bigfoot Race (USA),50km,29,14835.0,"*Albuquerque, NM",USA,1978.0,M,M35,12.133,35593
2022,26.11.2022,Bosque Bigfoot Race (USA),50km,14,16316.0,"*Albuquerque, NM",USA,1978.0,M,M40,11.032,35593
2021,27.11.2021,Bosque Bigfoot Race (USA),50km,29,13809.0,"*Albuquerque, NM",USA,1987.0,M,M23,13.035,82992
2019,30.11.2019,Bosque Bigfoot Race (USA),50km,24,15737.0,"*Las Cruces, NM",USA,1985.0,F,W23,11.438,466463
2016,27.08.2016,Bottroper Ultralauf Festival 50km Split (GER),50km,24,14956.0,TC Kray 1892 e.V.,GER,1969.0,M,M45,12.035,24870
2017,26.08.2017,Bottroper Ultralauf Festival 6h - 50 km Split (GER),50km,32,13535.0,,SWE,1973.0,M,M40,13.299,23133
2018,01.09.2018,Bottroper Ultralauf Festival 6h - 50km Split (GER),50km,20,14187.0,LC Breisgau,GER,1982.0,F,W35,12.688,58869
2019,24.08.2019,Bottroper Ultralauf Festival 6h - 50km Split (GER),50km,24,14519.0,LSG Karlsruhe,GER,1966.0,M,M50,12.398,272833
2014,12.10.2014,Boulder 50 km Run (USA),50km,6,12480.0,"*Golden, CO",USA,1992.0,M,MU23,14.423,37196
2013,13.10.2013,Boulder 50 km Run (USA),50km,10,15000.0,,USA,1967.0,M,M45,12,145929
2012,14.10.2012,Boulder 50 km Run (USA),50km,12,12720.0,"*Golden, CO",USA,1967.0,M,M40,14.151,287491
2002,07.04.2002,Boulder Distance Carnival 50 Km (USA),50km,8,13038.0,,USA,1966.0,M,M35,13.806,609752
2022,10.09.2022,Boulder Field 100 - 50 km Ultra Run (USA),50km,145,14881.0,"*Broomall, PA",USA,1987.0,M,M23,12.096,143695
2021,11.09.2021,Boulder Field 100 - 50 km Ultra Run (USA),50km,169,16797.0,"*Fountain Hill, PA",USA,1973.0,M,M45,10.716,905490
2020,12.09.2020,Boulder Field 100 - 50 km Ultra Run (USA),50km,93,15355.0,"*Emmaus, PA",USA,1991.0,M,M23,11.723,285652
2019,14.09.2019,Boulder Field 100 - 50 km Ultra Run (USA),50km,168,14567.0,,USA,1980.0,M,M35,12.357,35641
2018,15.09.2018,Boulder Field 100 - 50 km Ultra Run (USA),50km,150,16602.0,"*Nazareth, PA",USA,1982.0,M,M35,10.842,270703
2017,16.09.2017,Boulder Field 100 - 50 km Ultra Run (USA),50km,156,13943.0,"*Wayne, PA",USA,1986.0,M,M23,12.91,207553
2016,17.09.2016,Boulder Field 100 - 50 km Ultra Run (USA),50km,151,14097.0,"*Emmaus, PA",USA,1988.0,M,M23,12.769,35644
2015,03.10.2015,Boulieu Trail 50km (FRA),50km,62,16215.0,,FRA,1982.0,M,M23,11.101,44348
2016,05.03.2016,Boundless Pagudpud Ultra Marathon 50K (PHI),50km,26,20263.0,,PHI,,M,,8.883,383099
2017,29.07.2017,Box Canyon - Telluride Mountain Run 50K (USA),50km,11,35221.0,"*Telluride, CO",USA,1983.0,M,M23,5.111,260985
2019,27.07.2019,Br135 Ultra de Rua - Etapa Bertioga Continental 2019 - 50km (BRA),50km,15,14641.0,,BRA,1962.0,M,M55,12.294,744065
2013,19.05.2013,Bramming Ultramaraton 100 km - 50km Split (DEN),50km,28,13379.0,Viborg AM,DEN,1975.0,M,M35,13.454,83416
2011,12.06.2011,Bramming Ultramaraton 50 km (DEN),50km,8,16062.0,,DEN,1958.0,M,M50,11.207,1316561
2013,19.05.2013,Bramming Ultramaraton 50 km (DEN),50km,16,13243.0,team vulk,DEN,1974.0,M,M35,13.592,119981
2012,27.05.2012,Bramming Ultramaraton 50 km (DEN),50km,13,14200.0,,DEN,1974.0,M,M35,12.676,604067
2000,06.02.2000,Brass Monkey 50 Km (CAN),50km,7,15359.0,*WA,USA,1956.0,M,M40,11.72,35421
2021,03.04.2021,Brazos Bend 50 - 50 Km (USA),50km,157,11627.0,"*Houston, TX",USA,1983.0,M,M35,15.481,38925
2019,06.04.2019,Brazos Bend 50 - 50 Km (USA),50km,190,10741.0,"*Katy, TX",CAN,1984.0,M,M23,16.758,126859
2018,07.04.2018,Brazos Bend 50 - 50 Km (USA),50km,156,11634.0,"*Katy, TX",CAN,1984.0,M,M23,15.472,126859
2017,08.04.2017,Brazos Bend 50 - 50 Km (USA),50km,151,12487.0,"*Houston, TX",USA,1976.0,M,M40,14.415,55155
2022,09.04.2022,Brazos Bend 50 - 50 Km (USA),50km,156,11950.0,"*Austin, TX",USA,1986.0,M,M35,15.063,12696
2016,16.04.2016,Brazos Bend 50 - 50 Km (USA),50km,189,11426.0,"*Katy, TX",CAN,1984.0,M,M23,15.754,126859
2015,25.04.2015,Brazos Bend 50 - 50 Km (USA),50km,106,12665.0,"*Denton, TX",USA,1982.0,F,W23,14.212,399477
2014,26.04.2014,Brazos Bend 50 - 50 Km (USA),50km,77,13973.0,,USA,1967.0,M,M45,12.882,1427827
2021,05.09.2021,Breck Crest 50 km Race (USA),50km,8,19592.0,"*Breckenridge, CO",USA,1981.0,M,M35,9.187,489970
2016,16.04.2016,Brecon Beacons Ultra 50K (GBR),50km,29,17648.0,,GBR,1974.0,M,M40,10.199,218997
2015,31.05.2015,Brecon Beacons Ultra 50K (GBR),50km,4,16795.0,,GBR,,M,,10.717,399924
2016,03.12.2016,Bremer Bergmarathon mit Höhenmetersammmlung (GER),50km,9,18235.0,Team Erdinger Alkoholfrei,GER,1967.0,M,M45,9.871,81990
2015,04.10.2015,Bribie Beach Run (AUS),50km,9,15387.0,,AUS,1970.0,M,M45,11.698,19638
2012,07.10.2012,Bribie Beach Run (AUS),50km,11,15275.0,,AUS,1988.0,M,M23,11.784,414022
2014,12.10.2014,Bribie Beach Run (AUS),50km,5,14536.0,,AUS,,M,,12.383,1314776
2013,13.10.2013,Bribie Beach Run (AUS),50km,9,16576.0,,AUS,,M,,10.859,1418564
2016,25.09.2016,Bribie Beach Run (AUS),50km,7,15053.0,,AUS,1968.0,M,M45,11.958,159539
2017,29.10.2017,Bribie Beach Run (AUS),50km,6,16310.0,,AUS,1978.0,M,M35,11.036,133443
2022,05.11.2022,Bridge Burner Ultra (USA),50km,72,14701.0,"*Castle Pines, CO",USA,1997.0,M,M23,12.244,900788
2005,08.01.2005,Bridle Trails Winter Running Festival (USA),50km,34,13224.0,,USA,1973.0,M,M23,13.612,1166927
2011,08.01.2011,Bridle Trails Winter Running Festival (USA),50km,46,12899.0,,USA,1975.0,M,M35,13.955,1200549
2022,08.01.2022,Bridle Trails Winter Running Festival (USA),50km,44,12179.0,"*Normandy Park, WA",USA,1991.0,M,M23,14.78,71287
2010,09.01.2010,Bridle Trails Winter Running Festival (USA),50km,70,14320.0,,USA,1978.0,M,M23,12.57,402633
2016,09.01.2016,Bridle Trails Winter Running Festival (USA),50km,73,12300.0,"*Seattle, WA",USA,1989.0,M,M23,14.634,46925
2004,10.01.2004,Bridle Trails Winter Running Festival (USA),50km,24,13468.0,,USA,1964.0,M,M35,13.365,472937
2009,10.01.2009,Bridle Trails Winter Running Festival (USA),50km,50,12666.0,,GER,1972.0,M,M35,14.211,12065
2015,10.01.2015,Bridle Trails Winter Running Festival (USA),50km,50,12803.0,"*Seattle, WA",USA,1985.0,M,M23,14.059,212760
2003,11.01.2003,Bridle Trails Winter Running Festival (USA),50km,36,14067.0,,USA,1965.0,M,M35,12.796,1126973
2014,11.01.2014,Bridle Trails Winter Running Festival (USA),50km,38,13871.0,,USA,1980.0,M,M23,12.977,122852
2020,11.01.2020,Bridle Trails Winter Running Festival (USA),50km,52,12587.0,"*Seattle, WA",USA,1988.0,M,M23,14.3,128571
2002,12.01.2002,Bridle Trails Winter Running Festival (USA),50km,37,17208.0,,USA,1966.0,M,M35,10.46,12369
2008,12.01.2008,Bridle Trails Winter Running Festival (USA),50km,44,13458.0,,USA,1973.0,M,M23,13.375,1166927
2019,12.01.2019,Bridle Trails Winter Running Festival (USA),50km,77,12870.0,*Seattle,USA,1989.0,M,M23,13.986,67893
2001,13.01.2001,Bridle Trails Winter Running Festival (USA),50km,33,15009.0,,USA,1958.0,M,M40,11.993,99459
2007,13.01.2007,Bridle Trails Winter Running Festival (USA),50km,44,11980.0,,USA,1973.0,M,M23,15.025,1166927
2013,13.01.2013,Bridle Trails Winter Running Festival (USA),50km,55,13206.0,,USA,1982.0,M,M23,13.63,80412
2018,13.01.2018,Bridle Trails Winter Running Festival (USA),50km,62,13142.0,,USA,1989.0,M,M23,13.697,67893
2006,14.01.2006,Bridle Trails Winter Running Festival (USA),50km,18,13858.0,,USA,1978.0,M,M23,12.989,74408
2017,14.01.2017,Bridle Trails Winter Running Festival (USA),50km,59,12150.0,"*Newcastle, WA",USA,1989.0,M,M23,14.815,46925
2000,15.01.2000,Bridle Trails Winter Running Festival (USA),50km,36,14345.0,,CAN,1969.0,M,M23,12.548,1083479
1999,16.01.1999,Bridle Trails Winter Running Festival (USA),50km,24,14374.0,,USA,1965.0,M,M23,12.523,433694
1998,17.01.1998,Bridle Trails Winter Running Festival (USA),50km,26,14865.0,,CAN,1956.0,M,M40,12.109,497666
1997,18.01.1997,Bridle Trails Winter Running Festival (USA),50km,22,14962.0,,CAN,1956.0,M,M40,12.03,497666
1996,20.01.1996,Bridle Trails Winter Running Festival (USA),50km,18,16432.0,,CAN,1956.0,M,M35,10.954,497666
2012,28.01.2012,Bridle Trails Winter Running Festival (USA),50km,46,12805.0,,USA,1986.0,M,M23,14.057,102805
